浙江金华,#genre#
爱科幻,http://112.17.52.41/PLTV/88888888/224/3221233656/index.m3u8
爱浪漫,http://112.17.52.41/PLTV/88888888/224/3221233665/index.m3u8
爱历史,http://112.17.52.41/PLTV/88888888/224/3221233685/index.m3u8
爱旅游,http://112.17.52.41/PLTV/88888888/224/3221233703/index.m3u8
爱体育,http://112.17.52.41/PLTV/88888888/224/3221233700/index.m3u8
爱喜剧,http://112.17.52.41/PLTV/88888888/224/3221233658/index.m3u8
爱悬疑,http://112.17.52.41/PLTV/88888888/224/3221233650/index.m3u8
爱院线,http://112.17.52.41/PLTV/88888888/224/3221233680/index.m3u8

未知,http://112.17.52.41/PLTV/88888888/224/3221233638/index.m3u8
未知,http://112.17.52.41/PLTV/88888888/224/3221233671/index.m3u8
未知,http://112.17.52.41/PLTV/88888888/224/3221233674/index.m3u8
未知,http://112.17.52.41/PLTV/88888888/224/3221233688/index.m3u8

CCTV1综合,http://112.17.52.66/PLTV/88888888/224/3221233701/index.m3u8
CCTV2财*,http://112.17.52.66/PLTV/88888888/224/3221233718/index.m3u8
CCTV3综艺,http://112.17.52.66/PLTV/88888888/224/3221233715/index.m3u8
CCTV4中文国际,http://112.17.52.66/PLTV/88888888/224/3221233686/index.m3u8
CCTV5体育,http://112.17.52.66/PLTV/88888888/224/3221233724/index.m3u8
CCTV6电影,http://112.17.52.66/PLTV/88888888/224/3221233713/index.m3u8
CCTV7国防军事,http://112.17.52.66/PLTV/88888888/224/3221233709/index.m3u8
CCTV8电视剧,http://112.17.52.66/PLTV/88888888/224/3221233721/index.m3u8
CCTV9纪录,http://112.17.52.66/PLTV/88888888/224/3221233706/index.m3u8
CCTV10科教,http://112.17.52.66/PLTV/88888888/224/3221233704/index.m3u8
CCTV11戏曲,http://112.17.52.66/PLTV/88888888/224/3221233733/index.m3u8
CCTV12社会与法,http://112.17.52.66/PLTV/88888888/224/3221233727/index.m3u8
CCTV13新闻,http://112.17.52.66/PLTV/88888888/224/3221233712/index.m3u8
CCTV14少儿,http://112.17.52.66/PLTV/88888888/224/3221233698/index.m3u8
CCTV16奥林匹克,http://112.17.52.66/PLTV/88888888/224/3221233710/index.m3u8
CCTV4K超高清,http://112.17.52.66/PLTV/88888888/224/3221233679/index.m3u8

北京卫视,http://112.17.52.66/PLTV/88888888/224/3221233730/index.m3u8
东方卫视,http://112.17.52.66/PLTV/88888888/224/3221233692/index.m3u8
天津卫视,http://112.17.52.66/PLTV/88888888/224/3221233682/index.m3u8
重庆卫视,http://112.17.52.66/PLTV/88888888/224/3221233677/index.m3u8
黑龙江卫视,http://112.17.52.66/PLTV/88888888/224/3221233694/index.m3u8
山东卫视,http://112.17.52.66/PLTV/88888888/224/3221233641/index.m3u8
安徽卫视,http://112.17.52.66/PLTV/88888888/224/3221233653/index.m3u8
湖北卫视,http://112.17.52.66/PLTV/88888888/224/3221233668/index.m3u8
湖南卫视,http://112.17.52.66/PLTV/88888888/224/3221233707/index.m3u8
江苏卫视,http://112.17.52.66/PLTV/88888888/224/3221233689/index.m3u8
浙江卫视,http://112.17.52.66/PLTV/88888888/224/3221233695/index.m3u8
广东卫视,http://112.17.52.66/PLTV/88888888/224/3221233667/index.m3u8
深圳卫视,http://112.17.52.66/PLTV/88888888/224/3221233664/index.m3u8
海南卫视,http://112.17.52.66/PLTV/88888888/224/3221233697/index.m3u8

都市剧场,http://112.17.52.66/PLTV/88888888/224/3221233659/index.m3u8
游戏风云,http://112.17.52.66/PLTV/88888888/224/3221233683/index.m3u8

爱谍战,http://112.17.52.66/PLTV/88888888/224/3221233691/index.m3u8
爱科幻,http://112.17.52.66/PLTV/88888888/224/3221233656/index.m3u8
爱浪漫,http://112.17.52.66/PLTV/88888888/224/3221233665/index.m3u8
爱历史,http://112.17.52.66/PLTV/88888888/224/3221233685/index.m3u8
爱旅游,http://112.17.52.66/PLTV/88888888/224/3221233703/index.m3u8
爱体育,http://112.17.52.66/PLTV/88888888/224/3221233700/index.m3u8
爱喜剧,http://112.17.52.66/PLTV/88888888/224/3221233658/index.m3u8
爱悬疑,http://112.17.52.66/PLTV/88888888/224/3221233650/index.m3u8
爱院线,http://112.17.52.66/PLTV/88888888/224/3221233680/index.m3u8

未知,http://112.17.52.66/PLTV/88888888/224/3221233638/index.m3u8
未知,http://112.17.52.66/PLTV/88888888/224/3221233671/index.m3u8
未知,http://112.17.52.66/PLTV/88888888/224/3221233674/index.m3u8
未知,http://112.17.52.66/PLTV/88888888/224/3221233688/index.m3u8

CCTV1综合,http://112.17.52.70/PLTV/88888888/224/3221233701/index.m3u8
CCTV2财*,http://112.17.52.70/PLTV/88888888/224/3221233718/index.m3u8
CCTV3综艺,http://112.17.52.70/PLTV/88888888/224/3221233715/index.m3u8
CCTV4中文国际,http://112.17.52.70/PLTV/88888888/224/3221233686/index.m3u8
CCTV5体育,http://112.17.52.70/PLTV/88888888/224/3221233724/index.m3u8
CCTV6电影,http://112.17.52.70/PLTV/88888888/224/3221233713/index.m3u8
CCTV7国防军事,http://112.17.52.70/PLTV/88888888/224/3221233709/index.m3u8
CCTV8电视剧,http://112.17.52.70/PLTV/88888888/224/3221233721/index.m3u8
CCTV9纪录,http://112.17.52.70/PLTV/88888888/224/3221233706/index.m3u8
CCTV10科教,http://112.17.52.70/PLTV/88888888/224/3221233704/index.m3u8
CCTV11戏曲,http://112.17.52.70/PLTV/88888888/224/3221233733/index.m3u8
CCTV12社会与法,http://112.17.52.70/PLTV/88888888/224/3221233727/index.m3u8
CCTV13新闻,http://112.17.52.70/PLTV/88888888/224/3221233712/index.m3u8
CCTV14少儿,http://112.17.52.70/PLTV/88888888/224/3221233698/index.m3u8
CCTV16奥林匹克,http://112.17.52.70/PLTV/88888888/224/3221233710/index.m3u8
CCTV4K超高清,http://112.17.52.70/PLTV/88888888/224/3221233679/index.m3u8

北京卫视,http://112.17.52.70/PLTV/88888888/224/3221233730/index.m3u8
东方卫视,http://112.17.52.70/PLTV/88888888/224/3221233692/index.m3u8
天津卫视,http://112.17.52.70/PLTV/88888888/224/3221233682/index.m3u8
重庆卫视,http://112.17.52.70/PLTV/88888888/224/3221233677/index.m3u8
黑龙江卫视,http://112.17.52.70/PLTV/88888888/224/3221233694/index.m3u8
山东卫视,http://112.17.52.70/PLTV/88888888/224/3221233641/index.m3u8
安徽卫视,http://112.17.52.70/PLTV/88888888/224/3221233653/index.m3u8
湖北卫视,http://112.17.52.70/PLTV/88888888/224/3221233668/index.m3u8
湖南卫视,http://112.17.52.70/PLTV/88888888/224/3221233707/index.m3u8
江苏卫视,http://112.17.52.70/PLTV/88888888/224/3221233689/index.m3u8
浙江卫视,http://112.17.52.70/PLTV/88888888/224/3221233695/index.m3u8
广东卫视,http://112.17.52.70/PLTV/88888888/224/3221233667/index.m3u8
深圳卫视,http://112.17.52.70/PLTV/88888888/224/3221233664/index.m3u8
海南卫视,http://112.17.52.70/PLTV/88888888/224/3221233697/index.m3u8

都市剧场,http://112.17.52.70/PLTV/88888888/224/3221233659/index.m3u8
游戏风云,http://112.17.52.70/PLTV/88888888/224/3221233683/index.m3u8

爱谍战,http://112.17.52.70/PLTV/88888888/224/3221233691/index.m3u8
爱科幻,http://112.17.52.70/PLTV/88888888/224/3221233656/index.m3u8
爱浪漫,http://112.17.52.70/PLTV/88888888/224/3221233665/index.m3u8
爱历史,http://112.17.52.70/PLTV/88888888/224/3221233685/index.m3u8
爱旅游,http://112.17.52.70/PLTV/88888888/224/3221233703/index.m3u8
爱体育,http://112.17.52.70/PLTV/88888888/224/3221233700/index.m3u8
爱喜剧,http://112.17.52.70/PLTV/88888888/224/3221233658/index.m3u8
爱悬疑,http://112.17.52.70/PLTV/88888888/224/3221233650/index.m3u8
爱院线,http://112.17.52.70/PLTV/88888888/224/3221233680/index.m3u8

未知,http://112.17.52.70/PLTV/88888888/224/3221233638/index.m3u8
未知,http://112.17.52.70/PLTV/88888888/224/3221233671/index.m3u8
未知,http://112.17.52.70/PLTV/88888888/224/3221233674/index.m3u8
未知,http://112.17.52.70/PLTV/88888888/224/3221233688/index.m3u8

CCTV1综合,http://112.17.52.68/PLTV/88888888/224/3221233701/index.m3u8
CCTV2财*,http://112.17.52.68/PLTV/88888888/224/3221233718/index.m3u8
CCTV3综艺,http://112.17.52.68/PLTV/88888888/224/3221233715/index.m3u8
CCTV4中文国际,http://112.17.52.68/PLTV/88888888/224/3221233686/index.m3u8
CCTV5体育,http://112.17.52.68/PLTV/88888888/224/3221233724/index.m3u8
CCTV6电影,http://112.17.52.68/PLTV/88888888/224/3221233713/index.m3u8
CCTV7国防军事,http://112.17.52.68/PLTV/88888888/224/3221233709/index.m3u8
CCTV8电视剧,http://112.17.52.68/PLTV/88888888/224/3221233721/index.m3u8
CCTV9纪录,http://112.17.52.68/PLTV/88888888/224/3221233706/index.m3u8
CCTV10科教,http://112.17.52.68/PLTV/88888888/224/3221233704/index.m3u8
CCTV11戏曲,http://112.17.52.68/PLTV/88888888/224/3221233733/index.m3u8
CCTV12社会与法,http://112.17.52.68/PLTV/88888888/224/3221233727/index.m3u8
CCTV13新闻,http://112.17.52.68/PLTV/88888888/224/3221233712/index.m3u8
CCTV14少儿,http://112.17.52.68/PLTV/88888888/224/3221233698/index.m3u8
CCTV16奥林匹克,http://112.17.52.68/PLTV/88888888/224/3221233710/index.m3u8
CCTV4K超高清,http://112.17.52.68/PLTV/88888888/224/3221233679/index.m3u8

北京卫视,http://112.17.52.68/PLTV/88888888/224/3221233730/index.m3u8
东方卫视,http://112.17.52.68/PLTV/88888888/224/3221233692/index.m3u8
天津卫视,http://112.17.52.68/PLTV/88888888/224/3221233682/index.m3u8
重庆卫视,http://112.17.52.68/PLTV/88888888/224/3221233677/index.m3u8
黑龙江卫视,http://112.17.52.68/PLTV/88888888/224/3221233694/index.m3u8
山东卫视,http://112.17.52.68/PLTV/88888888/224/3221233641/index.m3u8
安徽卫视,http://112.17.52.68/PLTV/88888888/224/3221233653/index.m3u8
湖北卫视,http://112.17.52.68/PLTV/88888888/224/3221233668/index.m3u8
湖南卫视,http://112.17.52.68/PLTV/88888888/224/3221233707/index.m3u8
江苏卫视,http://112.17.52.68/PLTV/88888888/224/3221233689/index.m3u8
浙江卫视,http://112.17.52.68/PLTV/88888888/224/3221233695/index.m3u8
广东卫视,http://112.17.52.68/PLTV/88888888/224/3221233667/index.m3u8
深圳卫视,http://112.17.52.68/PLTV/88888888/224/3221233664/index.m3u8
海南卫视,http://112.17.52.68/PLTV/88888888/224/3221233697/index.m3u8

都市剧场,http://112.17.52.68/PLTV/88888888/224/3221233659/index.m3u8
游戏风云,http://112.17.52.68/PLTV/88888888/224/3221233683/index.m3u8

爱谍战,http://112.17.52.68/PLTV/88888888/224/3221233691/index.m3u8
爱科幻,http://112.17.52.68/PLTV/88888888/224/3221233656/index.m3u8
